iter	Logloss
0	0.6705168482
1	0.6520625146
2	0.6352757616
3	0.6198102448
4	0.6017759877
5	0.586497641
6	0.574606027
7	0.5638608497
8	0.5533683947
9	0.5430155571
10	0.5302416449
11	0.5202995995
12	0.5093042434
13	0.4983696377
14	0.4901425592
15	0.4821945838
16	0.4739377707
17	0.4665941615
18	0.4600132229
19	0.4528160698
20	0.4470170805
21	0.4410669916
22	0.4345681472
23	0.4292188171
24	0.4230886047
25	0.4180133295
26	0.413074284
27	0.4081874125
28	0.4034104063
29	0.3994006682
30	0.3950662663
31	0.3908264563
32	0.3867346367
33	0.3834460861
34	0.3801261356
35	0.3767445562
36	0.3736458998
37	0.3707715491
38	0.3674423951
39	0.3646089011
40	0.3616077798
41	0.3590008654
42	0.3563974041
43	0.3530684022
44	0.3504355748
45	0.3479311577
46	0.3454219493
47	0.3428265134
48	0.3404292576
49	0.3381899064
50	0.3362558088
51	0.3339354337
52	0.3317395285
53	0.3296714807
54	0.3273523447
55	0.3252828837
56	0.3235421753
57	0.3215477861
58	0.319579792
59	0.3176182781
60	0.3154411361
61	0.3139693878
62	0.3122274057
63	0.3102331171
64	0.3080798447
65	0.3064398893
66	0.3050292599
67	0.3031897942
68	0.3013894046
69	0.2996447842
70	0.2980490395
71	0.2967415506
72	0.2948384723
73	0.2933375523
74	0.2918725181
75	0.2902697998
76	0.288968758
77	0.2884733529
78	0.2873854915
79	0.2861095522
80	0.2847664006
81	0.2831996076
82	0.2820575995
83	0.2809915733
84	0.2797459654
85	0.2784779938
86	0.2771006974
87	0.2757176009
88	0.2744068119
89	0.2729390382
90	0.2717384802
91	0.2702154626
92	0.2689475212
93	0.2678866811
94	0.2666932702
95	0.2655703858
96	0.2645228122
97	0.2634867955
98	0.2623891286
99	0.2613900476
